abayı yakmak
itiş kakış
it kopuk
ittire kaktıra
iyiden iyiye
iyi kötü
ıkın sıkına
ıncık cıncık
ıvır zıvır
kaba saba
kader kısmet
kadınlı erkekli
kanlı canlı
kap kacak
kara kuru
kargacık burgacık
karı kız
karı koca
kar kış
karman çorman
kaş göz
katır kutur
kazma kürek
kelli felli
kem küm
kerli ferli
kılık kıyafet
kıra döke
kırık dökük
kol kanat
konu komşu
köşe bucak
mal mülk
mırın kırın
mutlu mesut
oflaya puflaya
oldu olacak
ölüm kalım
olur olmaz
önlü arkalı
ot bok
öte beri
öteki beriki
öte yanda
öte yandan
palas pandıras
paldır küldür
para pul
parça pinçik
pata küte
patır kütür
pat küt
peynir ekmek
pılı pırtı
rezil rüsva
rica minnet
sabah akşam
saçma sapan
saç sakal
sağlı sollu
salak sulak
salkım saçak
salya sümük
sanat sepet
şangır şungur
şan şöhret
şapur şupur
şarıl şurul
sazlı sözlü
sebze meyve
sen ben
senet sepet
şen şakrak
sere serpe
ses seda
sessiz sakin
sessiz sedasız
sıkı fıkı
sorgu sual
şöyle böyle
soy sop
şu bu
süklüm püklüm
sulu sepken
şurada burada
sürü sepet
süslü püslü
sus pus
tabak çanak
takır tukur
tas tarak
teke tek
tekme tokat
tek tük
telli duvaklı
tencere tava
tıngır mıngır
torun torba
toz duman
uçuk kaçık
ucuz pahalı
ufak tefek
ulu orta
üst baş
üstüne üstlük
üst üste
üzgün süzgün
vakitli vakitsiz
varı yoğu
varsa yoksa
vurdulu kırdılı
yağmur çamur
yaka paça
yalan yanlış
yalap şalap
yamru yumru
yamuk yumuk
yana döne
yanar döner
yanarlı dönerli
yana yakıla
yan yana
yapa ede
yara bere
yarım yamalak
yaşlı başlı
yata kalka
yatak döşek
yaza çize
yazık günah
yaz kış
yenisi eskisi
yerli yersiz
yırtık pırtık
yırtık yurtuk
yol yordam
yorgan döşek
yorgun argın
zarar ziyan
zar zor
zil zurna
Arş. Gör.
bit. b.
Cum. Bşk.
dil b.
Dz. Kuv. K.
Dz. Kuv.
hay. b.
Hs. Uzm.
Hv. Kuv. K.
Hv. Kuv.
Hz. öz.
Kur. Bşk.
Nö. Sb.
Osm. T.
Y. Mim.
Y. Müh.
Yd. Sb.
Yrd. Doç.
